Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"BestMovieLine , Best Movie Line",b'Another Character Confirmed To Have Survived Infinity War https://t.co/fcI635cJDt',https://goo.gl/wqEMoE,Thu Nov 22 08:31:27 +0000 2018,493176,38,0,4
"CBR , Comic Book Resources","b""Stan Lee's Company Issues Response to Bill Maher's 'Disgusting' Comments https://t.co/UaTnlTccjb https://t.co/TITQZ55V5Y""",https://buff.ly/2AaPKNu,Thu Nov 22 08:31:03 +0000 2018,234940,832,14,44
"BestMovieLine , Best Movie Line",b'Overprotective boyfriend gets destroyed by twitter https://t.co/51xXNoeV5Y',http://twentytwowords.com/overprotective-boyfriend-refuses-to-let-girlfriend-go-out-and-twitter-rallies-hard/2/?utm_source=deck&utm_medium=cpc&utm_term=influencer&utm_campaign=DM367,Thu Nov 22 08:30:40 +0000 2018,493176,38,0,1
"DepressedDarth , Darth Vader",b'That\\u2019s easy https://t.co/grspvZAdBR',no external urls in this tweet,Thu Nov 22 08:22:27 +0000 2018,817375,314,53,202
"BestMovieLine , Best Movie Line",b'Pulp Fiction https://t.co/L7PvD8N8N7',no external urls in this tweet,Thu Nov 22 08:14:26 +0000 2018,493176,38,34,92
"DutchNewsNL , DutchNews.NL",b'Prosecutors pledge highest ever rewards for two arrest tip-offs https://t.co/5vxeX2Msnl',https://goo.gl/yttwmT,Thu Nov 22 08:12:37 +0000 2018,14227,250,0,1
"dutchdailynews , Dutch Daily News",b'Dutch #recycling company StoneCycling has developed a process which turns building and industrial #waste into\\u2026 https://t.co/GEHjhGEdGL',https://twitter.com/i/web/status/1065515895345291266,Thu Nov 22 08:02:40 +0000 2018,10687,3181,1,3
"CBR , Comic Book Resources",b'#FantasticBeasts2 Has a Prof. McGonagall Problem https://t.co/TuarQDKBf9 https://t.co/QNOcMsuMtq',https://buff.ly/2S4rvrz,Thu Nov 22 08:01:03 +0000 2018,234940,832,1,11
"BestMovieLine , Best Movie Line",b'Zoolander https://t.co/7h6Qhlz7OG',no external urls in this tweet,Thu Nov 22 08:00:41 +0000 2018,493176,38,11,39
"DepressedDarth , Darth Vader","b'When I eat breakfast, I use the force https://t.co/clqQpzpqLs'",no external urls in this tweet,Thu Nov 22 07:59:28 +0000 2018,817375,314,19,66
"DutchNewsNL , DutchNews.NL",b'Local election results: GroenLinks makes major gains in Groningen https://t.co/cDkWk3Rral',https://goo.gl/CsxRGR,Thu Nov 22 07:59:07 +0000 2018,14227,250,0,0
"BestMovieLine , Best Movie Line",b'Deadpool https://t.co/X0ZkptHPgQ',no external urls in this tweet,Thu Nov 22 07:45:39 +0000 2018,493176,38,54,150
"DepressedDarth , Darth Vader",b'These movies joined the dark side https://t.co/Jtuu1lEX10',http://twentytwowords.com/dirty-jokes-that-were-secretly-hidden-in-the-kids-cartoons-of-our-youth/4/?utm_source=deck&utm_medium=cpc&utm_term=influencer&utm_campaign=DM367,Thu Nov 22 07:36:29 +0000 2018,817375,314,0,3
"spoderbro , my name is might've been","b'@WellDoneWallace Tried very hard, will print it out to mail to my parents'",no external urls in this tweet,Thu Nov 22 07:35:39 +0000 2018,315,1667,0,1
"WellDoneWallace , Scandinavian Prince","b'@spoderbro wow, nice meme!'",no external urls in this tweet,Thu Nov 22 07:34:18 +0000 2018,163,220,0,1
